time/fps,rollout/ep_len_mean,time/time_elapsed,train/step_size,train/iterations,train/learning_rate,train/delta_std,rollout/ep_rew_mean,time/total_timesteps,rollout/return_std
1715,5.0,553,0.0011254462879151106,233,0.02,0.05,-83412.09112200001,949420,2.2213406562805176
1715,5.0,553,0.0002067003952106461,234,0.02,0.05,-83408.5447726875,949740,12.094799995422363
1715,5.0,553,1.246815372724086e-05,235,0.02,0.05,-83361.3446173125,950060,200.51083374023438
1714,5.0,554,0.0002458474482409656,236,0.02,0.05,-83408.33282681249,950380,10.16890811920166
1714,4.75,554,7.440482363563206e-07,237,0.02,0.05,-84465.01636756251,950684,3359.997314453125
1714,5.0,554,1.5069073924678378e-05,238,0.02,0.05,-83361.22995937499,951004,165.90269470214844
1714,4.875,554,3.7941126720397733e-06,239,0.02,0.05,-83541.445374125,951316,658.9155883789062
1714,5.0,555,7.904455401330779e-08,240,0.02,0.05,-75609.35164206251,951636,31627.73046875
1714,4.4375,555,1.793378373804444e-06,241,0.02,0.05,-84173.27555975,951920,1394.0169677734375
1713,4.875,555,5.157501163921552e-06,242,0.02,0.05,-83528.994124625,952232,484.7308349609375
1713,5.0,555,0.001367382938042283,243,0.02,0.05,-83410.52212093749,952552,1.8283097743988037
1713,4.875,556,7.409560112137115e-07,244,0.02,0.05,-84301.34856,952864,3374.019287109375
1713,5.0,556,1.538968149361608e-06,245,0.02,0.05,-83818.3493135625,953184,1624.4649658203125
1713,5.0,556,7.75776015871088e-07,246,0.02,0.05,-84199.0484006875,953504,3222.57958984375
1712,4.875,556,5.168594725546427e-06,247,0.02,0.05,-83532.7012325,953816,483.6904602050781
1712,4.875,557,2.9548303359661077e-07,248,0.02,0.05,-85652.180157,954128,8460.72265625
1712,5.0,557,1.5646213569198153e-06,249,0.02,0.05,-83783.82840575,954448,1597.8306884765625
1712,4.875,557,5.165496077097487e-06,250,0.02,0.05,-83532.30797575,954760,483.9806213378906
1712,4.875,557,2.2172534954734147e-06,251,0.02,0.05,-83793.9693046875,955072,1127.52099609375
1712,5.0,558,0.06366116553544998,252,0.02,0.05,-83411.563333875,955392,0.03927028179168701
1711,4.875,558,5.126482392370235e-06,253,0.02,0.05,-83559.7387856875,955704,487.6637878417969
1711,5.0,558,5.584075211118034e-07,254,0.02,0.05,-85137.28699931249,956024,4477.01708984375
1711,5.0,558,7.370629759861913e-07,255,0.02,0.05,-84590.11277937499,956344,3391.840087890625
1711,5.0,559,0.0008109837071970105,256,0.02,0.05,-83410.7872986875,956664,3.0826756954193115
1710,5.0,559,0.02486676163971424,257,0.02,0.05,-83411.5330648125,956984,0.10053567588329315
1710,5.0,559,0.0008762889774516225,258,0.02,0.05,-83410.82672575,957304,2.8529398441314697
1710,5.0,559,8.002219260561105e-07,259,0.02,0.05,-84261.8716734375,957624,3124.13330078125
1710,5.0,560,0.0046979631297290325,260,0.02,0.05,-83411.407197375,957944,0.5321453809738159
1709,5.0,560,7.50992171560938e-07,261,0.02,0.05,-84241.52926862499,958264,3328.929443359375
1709,5.0,560,7.673939421692921e-07,262,0.02,0.05,-84231.9919521875,958584,3257.779296875
1709,5.0,561,3.542747037954541e-07,263,0.02,0.05,-86560.13804387499,958904,7056.6708984375
1709,5.0,561,7.425917829095852e-06,264,0.02,0.05,-83495.742527,959224,336.6587219238281
1709,5.0,561,0.002514270832762122,265,0.02,0.05,-83411.3359316875,959544,0.9943239092826843
1708,4.875,561,1.5968097386576119e-06,266,0.02,0.05,-83791.3440933125,959856,1565.6217041015625
1708,5.0,561,0.0002929924812633544,267,0.02,0.05,-83409.16787937499,960176,8.532642364501953
1708,5.0,562,7.745483685539511e-07,268,0.02,0.05,-84218.38610731249,960496,3227.687255859375
1708,5.0,562,2.2724745463165164e-07,269,0.02,0.05,-86163.72523075,960816,11001.2236328125
